n_constituents,precision,seed,class,fpr,tpr
8,FP32,1,q,0.00015996073018614878,0.004609891920747347
8,FP32,1,q,0.0001662400978926612,0.005174486517351736
8,FP32,1,q,0.00017276596646690346,0.005369739090685505
8,FP32,1,q,0.00017954801246878303,0.005490017050316309
8,FP32,1,q,0.0001865962923181746,0.005587560059312288
8,FP32,1,q,0.0001939212572065831,0.00575997423684489
8,FP32,1,q,0.0002015337685941733,0.00643542929425697
8,FP32,1,q,0.00020944511431514686,0.006879570734896756
8,FP32,1,q,0.0002176670253153459,0.007058262944771937
8,FP32,1,q,0.00022621169304690264,0.007129214094773069
8,FP32,1,q,0.00023509178754572868,0.007215426231871267
8,FP32,1,q,0.0002443204762186487,0.00730727527780852
8,FP32,1,q,0.0002539114433680347,0.00741089131249416
8,FP32,1,q,0.00026387891048289345,0.007572408327756332
8,FP32,1,q,0.000274237657326495,0.0076956624880083506
8,FP32,1,q,0.0002850030438518105,0.008256112920737881
8,FP32,1,q,0.0002961910329772553,0.008824780001798002
8,FP32,1,q,0.000307818214256508,0.009005662322057436
8,FP32,1,q,0.0003199018284775064,0.009540786017225389
8,FP32,1,q,0.00033245979322709383,0.010098187161558352
8,FP32,1,q,0.0003455107294592218,0.010369959099142947
8,FP32,1,q,0.0003590739891061055,0.010569567775863577
8,FP32,1,q,0.00037316968377327516,0.01086215007886942
8,FP32,1,q,0.00038781871456107194,0.011756006865678303
8,FP32,1,q,0.0004030428030568051,0.012313750586710361
8,FP32,1,q,0.0004188645235435271,0.013196755625368142
8,FP32,1,q,0.0004353073364731892,0.013432221436020894
8,FP32,1,q,0.00045239562325380536,0.014086423026792493
8,FP32,1,q,0.00047015472240221294,0.014361695863214554
8,FP32,1,q,0.0004886109671160327,0.014769351532887305
8,FP32,1,q,0.0005077917243205403,0.01499919223478188
8,FP32,1,q,0.0005277254352483538,0.016039465734325804
8,FP32,1,q,0.0005484416576121015,0.01647571658113405
8,FP32,1,q,0.0005699711094326076,0.016975094149123494
8,FP32,1,q,0.0005923457145875806,0.01741697588557281
8,FP32,1,q,0.0006155986501483508,0.018684125890693844
8,FP32,1,q,0.0006397643955748423,0.018938359422500065
8,FP32,1,q,0.0006648787838417263,0.020166453515714812
8,FP32,1,q,0.0006909790545715645,0.02073375429244758
8,FP32,1,q,0.0007181039092537349,0.021239825168968596
8,FP32,1,q,0.0007462935686310129,0.02184026123750417
8,FP32,1,q,0.0007755898323389002,0.02222221781623275
8,FP32,1,q,0.0008060361408861345,0.022639588268566137
8,FP32,1,q,0.0008376776400682916,0.023144984646016428
8,FP32,1,q,0.0008705612479099857,0.023527986831201456
8,FP32,1,q,0.0009047357242349293,0.024105743959799194
8,FP32,1,q,0.0009402517429670132,0.025086473429436894
8,FP32,1,q,0.0009771619672696182,0.02590085732643705
8,FP32,1,q,0.0010155211276345682,0.026814484095351726
8,FP32,1,q,0.001055386103036523,0.02746566459818992
8,FP32,1,q,0.001096816005273138,0.02787364422654626
8,FP32,1,q,0.0011398722666160514,0.028696591377761982
8,FP32,1,q,0.0011846187309026836,0.029918756188307638
8,FP32,1,q,0.0012311217482038896,0.031165851756241026
8,FP32,1,q,0.0012794502732078733,0.03216579017561957
